,Year,Variables
,2021,
AA,Anti-Social Behaviour Incidents,
Northern Ireland,"76,063",
Belfast East,"2,676",
Belfast North,"5,194",
Belfast South,"6,907",
Belfast West,"3,848",
East Antrim,"2,219",
East Londonderry,"2,992",
Fermanagh and South Tyrone,"2,786",
Foyle,"3,531",
Lagan Valley,"2,711",
Mid Ulster,"1,824",
Newry and Armagh,"2,933",
North Antrim,"2,884",
North Down,"2,737",
South Antrim,"2,423",
South Down,"2,928",
Strangford,"2,305",
Upper Bann,"4,410",
West Tyrone,"2,039",
