Russia Exports By Category,Value,Year,Percent
"Mineral fuels, oils, distillation products",2.1242E+11,2021,42.95979961
Commodities not specified according to kind,73340000000,2021,14.83227429
"Pearls, precious stones, metals, coins",31590000000,2021,6.388758449
Iron and steel,28890000000,2021,5.842710719
Fertilizers,12490000000,2021,2.525976354
"Wood and articles of wood, wood charcoal",11750000000,2021,2.376318828
"Machinery, nuclear reactors, boilers",10780000000,2021,2.180146125
Cereals,9170000000,2021,1.854539885
Aluminum,8670000000,2021,1.753419935
Ores slag and ash,7430000000,2021,1.502642459
Plastics,6180000000,2021,1.249842584
"Electrical, electronic equipment",6140000000,2021,1.241752988
Copper,5980000000,2021,1.209394604
"Fish, crustaceans, molluscs, aquatics invertebrates",5850000000,2021,1.183103417
"Animal, vegetable fats and oils, cleavage products",5350000000,2021,1.081983466
Articles of iron or steel,3970000000,2021,0.802892404
"Inorganic chemicals, precious metal compound, isotope",3970000000,2021,0.802892404
"Vehicles other than railway, tramway",3740000000,2021,0.756377227
Rubbers,3560000000,2021,0.719974045
Organic chemicals,3450000000,2021,0.697727656
"Paper and paperboard, articles of pulp, paper and board",3150000000,2021,0.637055686
Pharmaceutical products,2520000000,2021,0.509644549
"Residues, wastes of food industry, animal fodder",2060000000,2021,0.416614195
Nickel,2000000000,2021,0.404479801
"Optical, photo, technical, medical apparatus",1680000000,2021,0.339763032
"Pulp of wood, fibrous cellulosic material, waste",1400000000,2021,0.28313586
"Ships, boats, and other floating structures",1310000000,2021,0.264934269
"Oil seed, oleagic fruits, grain, seed, fruits",1240000000,2021,0.250777476
"Railway, tramway locomotives, rolling stock, equipment",1200000000,2021,0.24268788
Miscellaneous chemical products,1170000000,2021,0.236620683
Meat and edible meat offal,1160000000,2021,0.234598284
"Salt, sulphur, earth, stone, plaster, lime and cement",1110000000,2021,0.224486289
Miscellaneous edible preparations,1070000000,2021,0.216396693
"Essential oils, perfumes, cosmetics, toileteries",991280000,2021,0.200476368
Glass and glassware,932100000,2021,0.188507811
"Cereal, flour, starch, milk preparations and products",926250000,2021,0.187324708
"Furniture, lighting signs, prefabricated buildings",916390000,2021,0.185330622
Cocoa and cocoa preparations,877820000,2021,0.177530229
"Beverages, spirits and vinegar",824830000,2021,0.166813537
Edible vegetables and certain roots and tubers,767610000,2021,0.15524137
"Base metals not specified elsewhere, cermets.",693890000,2021,0.140332244
"Stone, plaster, cement, asbestos, mica or similar materials",646030000,2021,0.130653043
"Soaps, lubricants, waxes, candles, modelling pastes",640750000,2021,0.129585216
Tobacco and manufactures tobacco substitutes,586510000,2021,0.118615724
Sugars and sugar confectionery,563950000,2021,0.114053192
"Printed books, newspapers, pictures",510250000,2021,0.103192909
"Vegetable, fruit, nut food preparations",494470000,2021,0.100001563
"Milling products, malt, starches, inlin, wheat gluten",468780000,2021,0.09480602
"Tanning, dyeing extracts, tannins, derivatives, pigments",415210000,2021,0.083972029
Miscellanneous manufactured articles,410020000,2021,0.082922404
Ceramic products,391850000,2021,0.079247705
"Dairy products, eggs, honey, edible products",381640000,2021,0.077182836
"Articles of apparel, knit or crocheted",318060000,2021,0.064324423
"Meat, fish and seafood preparations",305360000,2021,0.061755976
"Articles of apparel, not knit or crocheted",296300000,2021,0.059923682
Miscellaneous articles of base metal,288600000,2021,0.058366435
"Toys, games, sports requisites",276840000,2021,0.055988094
Lead,263829999,2021,0.053356953
"Footwear, gaiters and the like,",253980000,2021,0.05136489
"Tools, implements, cutlery of base metal",249290000,2021,0.050416385
"Coffee, tea, mate and spices",231750000,2021,0.046869097
"Wadding, felt, nonwovens, yarns, twine, cordage",193310000,2021,0.039094995
"Other made textile articles, sets, worn clothing",164180000,2021,0.033203747
"Edible fruits, nuts, peel of citrus fruit, melons",153630000,2021,0.031070116
Products of animal origin,118830000,2021,0.024032167
Manmade filaments,108350000,2021,0.021912693
"Impregnated, coated or laminated textile fabric",102030000,2021,0.020634537
Raw hides and skins (other than furskins) and leather,78920000,2021,0.015960773
"Albuminoids, modified starches, glues, enzymes",74300000,2021,0.015026425
"Articles of leather, animal gut, harness, travel good",71720000,2021,0.014504646
Manmade staple fibers,68650000,2021,0.013883769
Cotton,64610000,2021,0.01306672
"Furskins and artificial fur, manufactures",56910000,2021,0.011509473
Live animals,52820000,2021,0.010682312
Knitted or crocheted fabric,49500000,2021,0.010010875
Headgear and,25280000,2021,0.005112625
Clocks and watches,22900000,2021,0.004631294
Carpets and other textile floor coverings,20080000,2021,0.004060977
Tin,19620000,2021,0.003967947
"Special woven or tufted fabric, lace, tapestry",18070000,2021,0.003654475
"Wool, animal hair, horsehair yarn and fabric",17910000,2021,0.003622117
"Vegetable textile fibers not specified elsewhere, paper yarn, woven fabric",16739999,2021,0.003385496
Photographic or cinematographic goods,16360000,2021,0.003308645
"Musical instruments, parts and accessories",15970000,2021,0.003229771
"Vegetable plaiting materials, vegetable products",15690000,2021,0.003173144
Zinc,10920000,2021,0.00220846
"Lac, gums, resins",10840000,2021,0.002192281
"Works of art, collectors' pieces and antiques",5940000,2021,0.001201305
"Live trees, plants, bulbs, roots, cut flowers",5450000,2021,0.001102207
"Bird skin, feathers, artificial flowers, human hair",5400000,2021,0.001092095
"Umbrellas, walking-sticks, seat-sticks, whips",1900000,2021,0.000384256
Cork and articles of cork,1850000,2021,0.000374144
"Manufacturers of plaiting material, basketwork",1060000,2021,0.000214374
Silk,159160,2021,3.22E-05
"Explosives, pyrotechnics, matches, pyrophorics",136190000,2020,0.027543052
"Aircraft, spacecraft",1920000000,2019,0.388300609
"Arms and ammunition, parts and accessories",102540000,2019,0.020737679
